DIA,SEM_COMPROMISSO,DURACAO_DIA,INICIO,FIM,DURACAO_COMPROMISSO,TITULO,LOCAL
"09-06-2019","Não","65","08:10","09:15","65","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Residência Oficial da Granja do Torto"""
"15-06-2019","Não","400","00:20","01:40","80","""Partida de São Paulo/SP para Brasília/DF""","""Aeroporto de Congonhas"""
"15-06-2019","Não","400","09:00","10:00","60","""André Luiz de Almeida, Advogado-Geral da União""","""Palácio da Alvorada"""
"15-06-2019","Não","400","15:30","18:20","170","""Partida de Brasília/DF para Santa Maria/RS""","""Base Aérea de Brasília"""
"15-06-2019","Não","400","19:00","20:20","80","""Cerimônia comemorativa ao 218º aniversário de nascimento do Marechal Emilio Luiz Mallet, patrono da arma de artilharia do Exército Brasileiro""","""Santa Maria/RS"""
"15-06-2019","Não","400","21:30","21:40","10","""Partida de Santa Maria/RS para Brasília/DF""","""Base Aérea de Santa Maria"""
"17-06-2019","Não","610","07:45","08:00","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio da Alvorada"""
"17-06-2019","Não","610","08:10","08:40","30","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio da Alvorada"""
"17-06-2019","Não","610","09:00","10:00","60","""Deputado David Soares (DEM/SP); e Missionário R.R. Soares, Fundador da Igreja Internacional da Graça de Deus""","""Palácio do Planalto"""
"17-06-2019","Não","610","10:00","10:30","30","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"17-06-2019","Não","610","10:30","10:50","20","""Damares Alves, Ministra de Estado da Mulher, da Família e dos Direitos Humanos""","""Palácio do Planalto"""
"17-06-2019","Não","610","11:00","11:30","30","""Jorge Antônio de Oliveira Francisco, Subchefe para Assuntos Jurídicos da Casa Civil da Presidência da República; e Grupo Evangélico""","""Palácio do Planalto"""
"17-06-2019","Não","610","11:30","12:00","30","""Deputado Eduardo Bolsonaro (PSL/SP)""","""Palácio do Planalto"""
"17-06-2019","Não","610","12:15","13:25","70","""Gilson Machado, Presidente do Instituto Brasileiro do Turismo; e Ronaldinho Gaúcho, ex-jogador de futebol""","""Palácio do Planalto"""
"17-06-2019","Não","610","14:00","14:35","35","""Mauro Biancamano Guimarães, Secretário-Executivo da Secretaria de Governo da Presidência da República; e Francisco de Assis de Moraes Souza (Mão Santa), Prefeito do município de Parnaíba/PI""","""Palácio do Planalto"""
"17-06-2019","Não","610","14:35","15:00","25","""Deputado Estadual André Fernandes (PSL/CE); Deputado Estadual Delegado Cavalcante (PSL/CE); Alberto Junior, Inspetor da Polícia Civil do Ceará; e Edson Alex Melo da Silva, Empresário""","""Palácio do Planalto"""
"17-06-2019","Não","610","15:00","15:15","15","""Osmar Terra, Ministro de Estado da Cidadania; e Roberto Alvim, Diretor de Teatro""","""Palácio do Planalto"""
"17-06-2019","Não","610","15:15","15:35","20","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"17-06-2019","Não","610","15:40","16:10","30","""Paulo Guedes, Ministro de Estado da Economia; Gladson Cameli, Governador do Estado do Acre; Senadora Mailza Gomes (PP/AC); Deputado Manuel Marcos (PRB/AC); Deputada Dra. Vanda Milani (SOLIDARIEDADE/AC); Wherles da Rocha Vice-Governador do Estado do Acre; Paulo Roberto, Presidente da Superintendência do Desenvolvimento da Amazônia – SUDAM; e Salim Mattar, Secretário Especial de Desestatização e Desinvestimento do Ministério da Economia""","""Palácio do Planalto"""
"17-06-2019","Não","610","16:10","16:55","45","""Paulo Guedes, Ministro de Estado da Economia; e Salim Mattar, Secretário Especial de Desestatização e Desinvestimento do Ministério da Economia""","""Palácio do Planalto"""
"17-06-2019","Não","610","17:00","17:20","20","""Floriano Peixoto, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"17-06-2019","Não","610","17:20","17:40","20","""Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"17-06-2019","Não","610","17:40","18:15","35","""Solenidade de Assinatura da MP para Confisco de Bens de Traficantes""","""Palácio do Planalto"""
"17-06-2019","Não","610","18:15","18:55","40","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Marcelo Álvaro Antônio, Ministro de Estado do Turismo; Senador Flávio Bolsonaro (PSL/RJ); Deputado Filipe Barros (PSL/PR), Vice-Líder do PSL na Câmara dos Deputados; e Gilson Machado, Presidente do Instituto Brasileiro do Turismo""","""Palácio do Planalto"""
"17-06-2019","Não","610","19:00","19:10","10","""Gilson Lima, Empresário""","""Palácio do Planalto"""
"17-06-2019","Não","610","19:30","20:00","30","""General de Exército Luiz Eduardo Ramos Baptista Pereira, Comandante Militar do Sudeste""","""Palácio da Alvorada"""
"22-06-2019","Sim","0","""""","""""","""""","""""",""""""
"21-06-2019","Não","210","08:40","10:00","80","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"21-06-2019","Não","210","10:45","11:00","15","""José Vicente Santini, Secretário-Executivo da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"21-06-2019","Não","210","11:00","11:15","15","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"21-06-2019","Não","210","12:00","13:00","60","""Fernando Azevedo, Ministro de Estado da Defesa; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Brasília/DF"""
"21-06-2019","Não","210","15:40","16:10","30","""Senador Jorge Kajuru (PSB/GO), Líder do PSB no Senado Federal""","""Palácio do Planalto"""
"21-06-2019","Não","210","16:10","16:20","10","""Deputado Hélio Lopes (PSL/RJ)""","""Palácio do Planalto"""
"18-06-2019","Não","540","08:00","08:15","15","""Hasteamento da Bandeira Nacional""","""Palácio do Planalto"""
"18-06-2019","Não","540","08:15","11:00","165","""14ª Reunião do Conselho de Governo""","""Palácio do Planalto"""
"18-06-2019","Não","540","11:00","12:00","60","""Cerimônia de Lançamento do Plano Safra 2019/2020""","""Palácio do Planalto"""
"18-06-2019","Não","540","12:00","13:30","90","""Deputado PR. Marco Feliciano (PODE/SP)""","""Palácio do Planalto"""
"18-06-2019","Não","540","14:30","16:00","90","""Deputada Joice Hasselmann (PSL/SP), Líder do Governo no Congresso Nacional; Deputado José Nelto (PODE/GO), Líder do Podemos na Câmara dos Deputados, e Bancada do Podemos""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:00","16:30","30","""Paulo Guedes, Ministro de Estado da Economia; Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; Deputado Fausto Pinato (PP/SP), Presidente da Frente Parlamentar Mista em Defesa da Indústria Brasileira de Bebidas; membros e coordenadores; e Alfredo Alexandre de Menezes Junior, Superintendente da SUFRAMA""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:30","16:45","15","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:45","17:00","15","""Hamilton Mourão, Vice-Presidente da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Heraldo Pereira, Jornalista""","""Palácio do Planalto"""
"18-06-2019","Não","540","17:00","17:45","45","""Solenidade de Sanção da Lei de Combate às Fraudes Previdenciárias""","""Palácio do Planalto"""
"18-06-2019","Não","540","18:30","18:45","15","""Deputado Estadual Frederico d'Avila (PSL/SP)""","""Palácio do Planalto"""
"03-06-2019","Não","480","08:15","08:45","30","""Floriano Peixoto, Ministro-Chefe da Secretaria-Geral da Presidência da República; e Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputado""","""Palácio do Planalto"""
"03-06-2019","Não","480","08:45","09:30","45","""Floriano Peixoto, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"03-06-2019","Não","480","09:30","10:55","85","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Floriano Amorim, Gerente Executivo da Gerência Executiva de Marketing e Negócios – EBC""","""Palácio do Planalto"""
"03-06-2019","Não","480","13:30","14:30","60","""Senador Flávio Bolsonaro (PSL/RJ)""","""Palácio do Planalto"""
"03-06-2019","Não","480","14:30","15:25","55","""Paulo Guedes, Ministro de Estado da Economia; Alexandre Borges Cabral, Presidente da Casa da Moeda do Brasil; e Salim Mattar, Secretário Especial de Desestatização e Desinvestimento do Ministério da Economia""","""Palácio do Planalto"""
"03-06-2019","Não","480","15:30","16:00","30","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"03-06-2019","Não","480","16:00","16:45","45","""Deputado Gutemberg Reis (MDB/RJ); Washington Reis, Prefeito do município de Duque de Caxias/RJ; e Deputado Estadual Rosenverg Reis (MDB/RJ)""","""Palácio do Planalto"""
"03-06-2019","Não","480","17:00","17:45","45","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"03-06-2019","Não","480","18:00","19:25","85","""Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; Deputada Joice Hasselmann (PSL/SP), Líder do Governo no Congresso Nacional; Deputado Major Vitor Hugo, Líder do Governo na Câmara; Deputado Alceu Moreira (MDB/RS), Presidente da Frente Parlamentar da Agropecuária (FPA); e lideranças da FPA""","""Palácio do Planalto"""
"27-06-2019","Não","635","02:05","02:15","10","""Chegada a Nursultan/Astana""","""Aeroporto de Nursultan Nazarbayev"""
"27-06-2019","Não","635","03:40","13:35","595","""Partida de Nursultan/Astana para Osaka/Japão""","""Aeroporto de Nursultan Nazarbayev"""
"27-06-2019","Não","635","15:30","16:00","30","""Ida Yoshiaki, Presidente da Marui Galvanizing Co. Ltd""","""Osaka/Japão"""
"26-06-2019","Não","20","11:45","11:55","10","""Chegada a Lisboa/Portugal""","""Aeroporto Humberto Delgado"""
"26-06-2019","Não","20","13:15","13:25","10","""Partida de Lisboa/Portugal para Nursultan/Astana""","""Aeroporto Humberto Delgado"""
"08-06-2019","Não","205","09:00","09:30","30","""Sr. Erico Filipe de Mello e Costa""","""Palácio da Alvorada"""
"08-06-2019","Não","205","09:30","10:45","75","""Antônio Rueda, Vice-Presidente do PSL""","""Palácio da Alvorada"""
"08-06-2019","Não","205","12:10","13:00","50","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio da Alvorada"""
"08-06-2019","Não","205","14:35","15:25","50","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio da Alvorada"""
"28-06-2019","Não","520","07:00","07:30","30","""Transmissão ao Vivo (Live) com Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Embaixador Otávio Brandelli, Secretário-Geral das Relações Exteriores""","""Osaka/Japão"""
"28-06-2019","Não","520","08:50","09:05","15","""Secretário-Geral da OCDE, José Angel Gurría Treviño""","""Osaka/Japão"""
"28-06-2019","Não","520","09:10","09:30","20","""Presidente do Banco Mundial, David Malpass""","""Osaka/Japão"""
"28-06-2019","Não","520","10:15","10:20","5","""Fotografias de Família dos Líderes do BRICS""","""Osaka/Japão"""
"28-06-2019","Não","520","10:20","10:50","30","""Reunião Informal dos Líderes do BRICS""","""Osaka/Japão"""
"28-06-2019","Não","520","11:35","11:50","15","""Cumprimentos do Primeiro Ministro Shinzo Abe""","""Osaka/Japão"""
"28-06-2019","Não","520","11:50","12:00","10","""Fotografia de Família dos Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","12:00","12:20","20","""Reunião Paralela dos Líderes do G20 sobre Economia Digital""","""Osaka/Japão"""
"28-06-2019","Não","520","12:20","14:25","125","""Primeira Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","14:25","14:55","30","""Emmanuel Macron, Presidente da República Francesa""","""osaka/Japão"""
"28-06-2019","Não","520","14:55","15:15","20","""Segunda Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","15:15","16:25","70","""Reunião bilateral com Donald Trump, Presidente dos Estados Unidos da América""","""Osaka/Japão"""
"28-06-2019","Não","520","18:05","18:10","5","""Fotografia de Família dos Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","18:10","18:45","35","""Apresentação Cultural""","""Osaka/Japão"""
"28-06-2019","Não","520","18:45","20:15","90","""Jantar em homenagem aos Líderes do G20 oferecido pelo Primeiro Ministro Shinzo Abe""","""Osaka/Japão"""
"25-06-2019","Não","440","08:30","09:15","45","""Jorge Antonio de Oliveira Francisco, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","09:15","10:00","45","""Karina Kufa, Advogada""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:00","10:15","15","""Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:15","10:30","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:30","11:00","30","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","11:00","11:30","30","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; Deputada Greyce Elias (Avante/MG) e Durval Queiroz, jogador de futebol americano""","""Palácio do Planalto"""
"25-06-2019","Não","440","11:30","12:00","30","""Augusto Nardes, Ministro do Tribunal de Contas da União""","""Palácio do Planalto"""
"25-06-2019","Não","440","12:30","14:10","100","""Cuiabano Lima, Locutor de Rodeio, Narrador e Apresentador""","""Palácio do Planalto"""
"25-06-2019","Não","440","14:00","14:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","14:30","15:00","30","""Marcos Cintra, Secretário da Receita Federal""","""Palácio do Planalto"""
"25-06-2019","Não","440","18:00","19:00","60","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","23:00","23:10","10","""Partida de Brasília/DF para Lisboa/Portugal""","""Base Aérea de Brasília"""
"06-06-2019","Não","570","06:50","10:40","230","""Partida de Brasília/DF para Buenos Aires/Argentina""","""Base Aérea de Brasília"""
"06-06-2019","Não","570","10:40","10:55","15","""Cerimônia de oferenda floral""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","11:05","11:15","10","""Reunião com o senhor Mauricio Macri, Presidente da República Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","11:25","12:40","75","""Reunião ampliada""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","12:40","13:00","20","""Declaração conjunta à Imprensa""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","13:00","13:15","15","""Reunião com cúpula do Congresso da Nação Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","13:15","13:30","15","""Reunião com o Presidente da Corte Suprema de Justiça""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","13:40","14:45","65","""Almoço oficial oferecido pelo senhor Mauricio Macri, Presidente da República Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","16:30","16:55","25","""Cerimônia de encerramento do Seminário de Indústria de Defesa""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","17:05","18:15","70","""Encontro com empresários""","""Buenos Aires/Argentina"""
"06-06-2019","Não","570","19:00","19:30","30","""Transmissão ao Vivo (Live) com Paulo Guedes, Ministro de Estado da Economia; Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; e Bento Albuquerque, Ministro de Estado de Minas e Energia""","""Buenos Aires/Argentina"""
"10-06-2019","Não","220","08:50","09:20","30","""Hamilton Mourão, Vice-Presidente da República; Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"10-06-2019","Não","220","09:20","09:30","10","""Senador Izalci Lucas (PSDB/DF), Vice-líder do Governo no Senado Federal""","""Palácio do Planalto"""
"10-06-2019","Não","220","10:45","11:15","30","""Marcos Cintra, Secretário da Receita Federal; e General Joaquim Silva e Luna, Diretor-Geral Brasileiro da Itaipu Binacional""","""Palácio do Planalto"""
"10-06-2019","Não","220","11:30","12:00","30","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"10-06-2019","Não","220","14:00","15:00","60","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"10-06-2019","Não","220","16:00","17:00","60","""Cerimônia comemorativa aos 20 anos de criação do Ministério da Defesa e imposição da Ordem do Mérito da Defesa""","""Brasília/DF"""
"29-06-2019","Não","315","09:20","09:40","20","""Reunião bilateral com o Primeiro-Ministro da Índia, Narendra Modi""","""Osaka/Japão"""
"29-06-2019","Não","315","09:40","10:00","20","""Reunião Paralela dos Líderes do G20 sobre Empoderamento das Mulheres""","""Osaka/Japão"""
"29-06-2019","Não","315","10:00","11:00","60","""Terceira Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"29-06-2019","Não","315","11:10","11:30","20","""Reunião bilateral com o Presidente da Indonésia Joko Widodo""","""Osaka/Japão"""
"29-06-2019","Não","315","11:30","11:40","10","""Reunião bilateral com o Príncipe Herdeiro da Arábia Saudita, Mohammed bin Salman""","""Osaka/Japão"""
"29-06-2019","Não","315","11:45","12:15","30","""Reunião bilateral com o Primeiro-Ministro do Japão, Shinzo Abe""","""Osaka/Japão"""
"29-06-2019","Não","315","12:15","13:45","90","""Quarta Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"29-06-2019","Não","315","13:45","14:05","20","""Sessão de Encerramento da Cúpula de Líderes do G20""","""Osaka/Japão"""
"29-06-2019","Não","315","14:05","14:30","25","""Reunião bilateral com o Primeiro-Ministro de Singapura, Lee Hsien-Loong""","""Osaka/Japão"""
"29-06-2019","Não","315","16:00","16:10","10","""Partida de Seattle/EUA para Fort Lauderdale/EUA""","""King County International Airport"""
"29-06-2019","Não","315","18:00","18:10","10","""Partida de Osaka/Japão para Seattle/EUA""","""Aeroporto Internacional de Kansai"""
"20-06-2019","Não","60","15:20","16:00","40","""27ª edição da Marcha para Jesus 2019""","""São Paulo/SP"""
"20-06-2019","Não","60","19:00","19:20","20","""Transmissão ao Vivo (Live)""","""Palácio da Alvorada"""
"16-06-2019","Sim","0","""""","""""","""""","""""",""""""
"12-06-2019","Não","450","09:00","09:45","45","""Senadora Soraya Thronicke (PSL/MS); Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; Deputado Guilherme Derrite (PP/SP), Vice- Líder do Governo na Câmara dos Deputados; Deputado Márcio Labre (PSL/RJ); Deputado Eduardo Bolsonaro (PSL/SP); e Deputada Caroline de Toni (PSL/SC)""","""Palácio do Planalto"""
"12-06-2019","Não","450","10:05","10:45","40","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; Deputado Felício Laterça (PSL/RJ); Deputado Silas Câmara (PRB/AM); Deputado Ricardo Izar (PP/SP); Apóstolo César Augusto, Presidente da Igreja Apostólica Fonte da Vida; e Bispo Paulo Sérgio Sousa, Coordenador da Região Centro-Oeste""","""Palácio do Planalto"""
"12-06-2019","Não","450","10:50","11:00","10","""Eduardo Eugênio Gouvêa Vieira, Presidente da FIRJAN""","""Palácio do Planalto"""
"12-06-2019","Não","450","11:10","11:50","40","""Deputada Joice Hasselmann, (PSL/SP), Líder do Governo no Congresso Nacional; e Deputado Otoni de Paula (PSC/RJ), 1º Vice-Líder do PSC na Câmara dos Deputados""","""Palácio do Planalto"""
"12-06-2019","Não","450","11:50","12:00","10","""Roberto Severo Ramos, Secretário-Executivo da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"12-06-2019","Não","450","12:05","13:30","85","""Sergio Moro, Ministro de Estado da Justiça e Segurança Pública; e Maurício Valeixo, Diretor-Geral da Polícia Federal""","""Palácio do Planalto"""
"12-06-2019","Não","450","14:00","14:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"12-06-2019","Não","450","14:30","15:15","45","""Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura; Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Deputado Estadual Coronel Sandro (PSL/MG)""","""Palácio do Planalto"""
"12-06-2019","Não","450","15:15","16:40","85","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações; e Rogério Parada, CEO UP TELECOM Ltda.""","""Palácio do Planalto"""
"12-06-2019","Não","450","16:40","17:00","20","""Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"12-06-2019","Não","450","17:00","17:30","30","""Deputado Alceu Moreira (MDB/RS); Deputado Pedro Lupion (DEM/PR); Deputado José Mario Schreiner (DEM/GO); e Luiz Antônio Nabhan Garcia, Secretário Especial de Assuntos Fundiários do Ministério da Agricultura, Pecuária e Abastecimento""","""Palácio do Planalto"""
"12-06-2019","Não","450","18:00","18:10","10","""Ernani Paciornik, Presidente da Revista Náutica""","""Palácio do Planalto"""
"02-06-2019","Sim","0","""""","""""","""""","""""",""""""
"04-06-2019","Não","440","09:00","09:20","20","""Karina Kufa, Advogada""","""Palácio do Planalto"""
"04-06-2019","Não","440","10:30","11:00","30","""Cerimônia de Apresentação de Cartas Credenciais dos Novos Embaixadores""","""Palácio do Planalto"""
"04-06-2019","Não","440","11:30","12:00","30","""Entrega do Projeto de Lei da Carteira Nacional de Habilitação (CNH) ao Presidente da Câmara, Rodrigo Maia""","""Brasília/DF"""
"04-06-2019","Não","440","12:45","13:45","60","""Paulo Guedes, Ministro de Estado da Economia; Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; Deputado Samuel Moreira (PSDB/SP); e Rogério Marinho, Secretário Especial da Previdência e Trabalho do Ministério da Economia""","""Palácio do Planalto"""
"04-06-2019","Não","440","14:00","14:30","30","""Sérgio Ricardo Segovia Barbosa, Presidente da Agência Brasileira de Promoção de Exportações e Investimentos""","""Palácio do Planalto"""
"04-06-2019","Não","440","14:30","17:00","150","""13ª Reunião do Conselho de Governo""","""Palácio do Planalto"""
"04-06-2019","Não","440","17:00","17:30","30","""Ato de assinatura da regulamentação das atividades em Salinas""","""Palácio do Planalto"""
"04-06-2019","Não","440","17:30","18:00","30","""Ato de assinatura da regulamentação da Lei nº 13.681/2018, que dispõe sobre pessoal do ex-território de Rondônia""","""Palácio do Planalto"""
"04-06-2019","Não","440","18:00","18:30","30","""General de Brigada Fioravante""","""Palácio do Planalto"""
"04-06-2019","Não","440","18:30","19:00","30","""Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; e Salim Mattar, Secretário Especial de Desestatização e Desinvestimento do Ministério da Economia""","""Palácio do Planalto"""
"05-06-2019","Não","290","08:35","09:30","55","""Partida de Brasília/DF para Barra do Garças/MT""","""Base Aérea de Brasília"""
"05-06-2019","Não","290","10:00","11:30","90","""Solenidade de Lançamento do Projeto Juntos pelo Araguaia""","""Aragarças/GO"""
"05-06-2019","Não","290","12:15","13:20","65","""Almoço Comemorativo do Lançamento do Projeto Juntos pelo Araguaia""","""Barra do Garças//MT"""
"05-06-2019","Não","290","15:30","16:25","55","""Partida de Barra do Garças/MT para Brasília/DF""","""Aeroporto de Barra do Garças"""
"05-06-2019","Não","290","17:00","17:25","25","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"24-06-2019","Não","510","08:00","09:00","60","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"24-06-2019","Não","510","09:00","09:45","45","""Abraham Weintraub, Ministro de Estado da Educação; Senador Flávio Bolsonaro (PSL/RJ); e Alexandre Lopes, Presidente do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP""","""Palácio do Planalto"""
"24-06-2019","Não","510","10:00","10:20","20","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; e Coronel Sheyla Soares Sampaio, Comandante-Geral da Polícia Militar do Distrito Federal""","""Palácio do Planalto"""
"24-06-2019","Não","510","10:20","10:45","25","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"24-06-2019","Não","510","10:45","11:15","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Senador Eduardo Braga (MDB/AM), Líder do MDB no Senado Federal; Alfredo Alexandre Menezes Júnior, Superintendente da Zona Franca de Manaus – SUFRAMA; e Alexandre Jobim, Presidente da Associação Brasileira das Indústrias de Refrigerantes e de Bebidas não Alcoólicas – ABIR""","""Palácio do Planalto"""
"24-06-2019","Não","510","11:15","11:30","15","""Cadetes da Academia Militar das Agulhas Negras""","""Palácio do Planalto"""
"24-06-2019","Não","510","11:30","11:45","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Ministro José Múcio Monteiro Filho, Presidente do Tribunal de Contas da União (TCU)""","""Palácio do Planalto"""
"24-06-2019","Não","510","11:45","12:00","15","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"24-06-2019","Não","510","12:20","13:50","90","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Senador Fernando Bezerra Coelho (MDB/PE), Líder do Governo no Senado; Deputada Joice Hasselmann (PSL/SP), Líder do Governo no Congresso Nacional; Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; e Floriano Peixoto, Presidente dos Correios""","""Palácio do Planalto"""
"24-06-2019","Não","510","14:00","14:20","20","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; e Alfredo Alexandre Menezes Júnior, Superintendente da Zona Franca de Manaus – SUFRAMA""","""Palácio do Planalto"""
"24-06-2019","Não","510","14:45","15:10","25","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"24-06-2019","Não","510","15:30","16:20","50","""Wilson Witzel, Governador do Estado do Rio de Janeiro; Senador Flávio Bolsonaro (PSL/RJ); Chase Carey, Diretor Executivo da Fórmula 1; José Antonio Pereira Junior, Presidente da Rio Motorsports; e Carlos Eduardo Caruso Ferreira, CEO da CSM Brasil""","""Palácio do Planalto"""
"24-06-2019","Não","510","17:00","17:15","15","""Ricardo Salles, Ministro de Estado do Meio Ambiente""","""Palácio do Planalto"""
"24-06-2019","Não","510","17:15","17:30","15","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"24-06-2019","Não","510","17:30","17:45","15","""Deputado Vinícius Carvalho (PRB/SP), Vice-Líder do PRB na Câmara dos Deputados""","""Palácio do Planalto"""
